board,texture,tape,num_seeps,seep_sev
1,Flat,Frog,6,2
2,Flat,Frog,6,3
3,Flat,Frog,7,2
4,Flat,Frog,2,1
5,Flat,Frog,8,1
6,Flat,Frog,5,1
7,Flat,Frog,11,2
8,Flat,Frog,1,1
9,Flat,Frog,4,1
10,Flat,Frog,2,1
11,Textured,Frog,76,6
12,Textured,Frog,98,7
13,Textured,Frog,76,10
14,Textured,Frog,100,7
15,Textured,Frog,84,10
16,Textured,Frog,79,10
17,Textured,Frog,109,7
18,Textured,Frog,74,9
19,Textured,Frog,79,8
20,Textured,Frog,80,7
1,Flat,3M,13,2
2,Flat,3M,8,2
3,Flat,3M,11,2
4,Flat,3M,13,2
5,Flat,3M,4,2
6,Flat,3M,11,1
7,Flat,3M,9,2
8,Flat,3M,3,2
9,Flat,3M,18,3
10,Flat,3M,6,3
11,Textured,3M,69,7
12,Textured,3M,72,7
13,Textured,3M,76,7
14,Textured,3M,75,7
15,Textured,3M,71,9
16,Textured,3M,82,8
17,Textured,3M,86,6
18,Textured,3M,70,8
19,Textured,3M,61,9
20,Textured,3M,80,8
1,Flat,Standard,18,2
2,Flat,Standard,13,2
3,Flat,Standard,16,2
4,Flat,Standard,9,2
5,Flat,Standard,15,2
6,Flat,Standard,20,3
7,Flat,Standard,14,3
8,Flat,Standard,6,2
9,Flat,Standard,20,2
10,Flat,Standard,9,1
11,Textured,Standard,72,7
12,Textured,Standard,83,8
13,Textured,Standard,81,8
14,Textured,Standard,70,7
15,Textured,Standard,88,8
16,Textured,Standard,70,9
17,Textured,Standard,81,8
18,Textured,Standard,80,9
19,Textured,Standard,71,8
20,Textured,Standard,80,8
